study_id,study_name,gene,med_amp_exp,n,n_amp,n_gain,n_dipl,n_loss,n_del,freq_amp,freq_gain,freq_dipl,freq_loss,freq_del
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",HLTF,0.2378,90,1,20,51,19,0,0.011111111111111112,0.2222222222222222,0.5666666666666667,0.2111111111111111,0
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",RAD18,NA,90,0,12,56,22,0,0,0.13333333333333333,0.6222222222222222,0.24444444444444444,0
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",UBE2A,NA,90,0,41,33,16,0,0,0.45555555555555555,0.36666666666666664,0.17777777777777778,0
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",UBE2B,NA,90,0,60,26,4,0,0,0.6666666666666666,0.28888888888888886,0.044444444444444446,0
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",UBE2N,3.6025,90,1,64,21,5,0,0.011111111111111112,0.7111111111111111,0.23333333333333334,0.05555555555555555,0
acc_tcga,"Adrenocortical Carcinoma (TCGA, Provisional)",UBE2V2,NA,90,0,36,41,13,0,0,0.4,0.45555555555555555,0.14444444444444443,0
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",HLTF,1.2141,408,13,210,182,16,0,0.031862745098039214,0.5147058823529411,0.44607843137254904,0.0392156862745098,0
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",RAD18,2.677,408,35,174,178,56,0,0.0857843137254902,0.4264705882352941,0.4362745098039216,0.13725490196078433,0
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",UBE2A,1.7572,408,1,56,270,82,3,0.0024509803921568627,0.13725490196078433,0.6617647058823529,0.20098039215686275,0.007352941176470588
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",UBE2B,NA,408,0,26,191,191,3,0,0.06372549019607843,0.4681372549019608,0.4681372549019608,0.007352941176470588
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",UBE2N,3.6833,408,7,95,235,78,0,0.01715686274509804,0.23284313725490197,0.5759803921568627,0.19117647058823528,0
blca_tcga,"Bladder Urothelial Carcinoma (TCGA, Provisional)",UBE2V2,2.4785500000000003,408,19,202,161,45,2,0.04656862745098039,0.4950980392156863,0.3946078431372549,0.11029411764705882,0.004901960784313725
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",HLTF,2.5578,128,3,71,49,8,0,0.0234375,0.5546875,0.3828125,0.0625,0
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",RAD18,4.4349,128,14,60,50,18,0,0.109375,0.46875,0.390625,0.140625,0
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",UBE2A,NA,128,0,21,77,30,2,0,0.1640625,0.6015625,0.234375,0.015625
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",UBE2B,NA,128,0,9,54,65,0,0,0.0703125,0.421875,0.5078125,0
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",UBE2N,7.38175,128,2,37,69,22,0,0.015625,0.2890625,0.5390625,0.171875,0
blca_tcga_pub,"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",UBE2V2,2.1414,128,8,57,58,13,2,0.0625,0.4453125,0.453125,0.1015625,0.015625
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",HLTF,1.3936,1080,23,295,711,74,0,0.021296296296296296,0.27314814814814814,0.6583333333333333,0.06851851851851852,0
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",RAD18,3.7203999999999997,1080,20,204,704,172,1,0.018518518518518517,0.18888888888888888,0.6518518518518519,0.15925925925925927,9.25925925925926e-4
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",UBE2A,3.5728,1080,7,150,735,195,2,0.006481481481481481,0.1388888888888889,0.6805555555555556,0.18055555555555555,0.001851851851851852
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",UBE2B,2.2132,1080,3,211,615,254,3,0.002777777777777778,0.19537037037037036,0.5694444444444444,0.2351851851851852,0.002777777777777778
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",UBE2N,3.9558,1080,11,211,693,176,0,0.010185185185185186,0.19537037037037036,0.6416666666666667,0.16296296296296298,0
brca_tcga,"Breast Invasive Carcinoma (TCGA, Provisional)",UBE2V2,4.2055,1080,71,518,474,88,1,0.06574074074074074,0.47962962962962963,0.4388888888888889,0.08148148148148149,9.25925925925926e-4
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",HLTF,1.40045,816,16,226,536,54,0,0.0196078431372549,0.2769607843137255,0.6568627450980392,0.0661764705882353,0
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",RAD18,3.827,816,17,159,524,133,1,0.020833333333333332,0.1948529411764706,0.6421568627450981,0.16299019607843138,0.0012254901960784314
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",UBE2A,3.5753,816,5,114,566,136,1,0.006127450980392157,0.13970588235294118,0.6936274509803921,0.16666666666666666,0.0012254901960784314
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",UBE2B,2.41075,816,2,157,472,187,1,0.0024509803921568627,0.19240196078431374,0.5784313725490197,0.22916666666666666,0.0012254901960784314
brca_tcga_pub2015,"Breast Invasive Carcinoma (TCGA, Cell 2015)",UBE2N,5.2936,816,9,156,527,133,1,0.011029411764705883,0.19117647058823528,0.6458333333333334,0.16299019607843138,0.0012254901960784314
