strain_id,strain_name,temperature,size,control_size,log2_ratio,z
TS-1I12,cdc28-4,33,0.0321924330396247,0.8832801676552045,-4.773766394976679,-17.485314672094535
TS-2C19,cdc2-1,27,0.015505021217927574,0.8786523190948883,-5.815374367590035,-17.3841677108978
TS-3B19,gab1-3,33,0.025776614173996362,0.6599400941851234,-4.672832898416026,-17.091516440972132
TS-1M12,cdc28-1,33,0.033672353985792984,0.726150544240107,-4.426552693590116,-16.13063910762199
TS-2B22,pse1-41,33,0.03673054698510756,0.6008696455886813,-4.028317395060187,-14.576899650698012
TS-1M6,rfc4-20,33,0.07206052524369536,1.0968569716114145,-3.9261532868286513,-14.178300112618997
TS-2F16,cop1-1,33,0.08009149905917405,0.9452333774190647,-3.5593019813483187,-12.747007230614395
TS-1K13,irr1-1,33,0.060634299856695925,0.7026173578139145,-3.532361117400518,-12.641895796560611
TS-1K14,dbf4-3,33,0.09881717411772842,1.137546428869566,-3.523687414192013,-12.60805481118726
TS-3B12,cep3-1,33,0.07476280857514873,0.8307963346460083,-3.4723474139170176,-12.407748649377366
TS-3B10,spc24 4-2,33,0.10705812707027679,1.1462626792869974,-3.4192503715047167,-12.200587279839054
TS-3N4,pol1-1,33,0.12042303250162714,1.2815979540032,-3.4106755317851802,-12.167132016435172
TS-1E17,cdc9-1,33,0.10966052447747443,1.1430185557199652,-3.3805438513704353,-12.049571416115123
TS-1O14,cog2-1,33,0.06446478829834379,0.665250618067226,-3.365295312373768,-11.990078305416434
TS-1K19,mcd1-73,33,0.07877060372361688,0.7809224620214923,-3.307804449434285,-11.765774175442456
TS-2O23,prp38-1,33,0.1176965706790973,1.1645544150837668,-3.3055324863599207,-11.756909972077397
TS-1L15,rpt4-150,33,0.06337569520449514,0.6039311214479924,-3.2503466874358824,-11.54159919082151
TS-2C19,cdc2-1,23,0.043236472626458675,1.1209310043361822,-4.693100639060523,-11.506776925027697
TS-3I12,cdc28-4,33,0.0831190594262014,0.7861351446317917,-3.23997496583287,-11.50113328247456
TS-1M9,ccl1-ts4,33,0.07817376693693978,0.7255687872494906,-3.2127104360303615,-11.39475904622525
TS-1N14,prp6-ts,33,0.07451362098098031,0.6871618684079575,-3.2033489872987784,-11.358234779486656
TS-1C10,mif2-3,33,0.07153321537075366,0.6387513416171663,-3.15677965406174,-11.176541667901294
TS-1I10,cdc24-4,33,0.11253545994517063,1.0008328362088228,-3.1516121769289875,-11.15638043873967
TS-1B10,spc24 4-2,33,0.1000508051734289,0.8736700145858086,-3.125079577352511,-11.052861873185797
TS-1B12,cep3-1,33,0.08072189210642035,0.6977197636166945,-3.1100364263511544,-10.99417009635548
TS-2H16,ame1-4,33,0.08204099560989467,0.7062687059117092,-3.104247089948356,-10.971582645088255
TS-2I15,nnf1-77,33,0.08731681658113032,0.7325180392730944,-3.0670784787846914,-10.826567027594692
TS-1H13,mtw1-ts,33,0.1205196647085626,0.9987546495357449,-3.049809626448204,-10.75919154041402
TS-2N22,nuf2-61,33,0.07717304904593549,0.6350716568250918,-3.039109306579245,-10.7174435857664
TS-1G15,sec7-1,33,0.14501391966364455,1.1607455207063293,-2.9999181808040865,-10.564537003394324
TS-1J6,spt16-ts,33,0.08119989558058148,0.6447235159810297,-2.987578953819263,-10.516394752054394
TS-1C3,erg11-td,33,0.09324835839435655,0.6869997289165868,-2.879822957009273,-10.095978117512205
TS-1N10,pol12-ts,33,0.1415821279674095,1.0000730046207735,-2.8195198805626784,-9.860701963954622
TS-5D12,nse4-ts1,33,0.10263692285606768,0.7148663150196194,-2.798920503944697,-9.78033223189535
TS-2H21,spc3-4,33,0.10722227718266703,0.7348533969693918,-2.7757032008826967,-9.689748499152532
TS-3B17,gab1-2,33,0.09322046111998818,0.6328326176229919,-2.761786576496792,-9.635451935047364
TS-1M13,cdc10-2,33,0.18293244526302663,1.2256291128149284,-2.743468861654998,-9.563984246433522
TS-2D19,prp16-2,33,0.1292368299262803,0.8588317841130888,-2.731410402707897,-9.516937428823505
TS-1B7,gpi13-3,33,0.10402988269275806,0.6851303958208493,-2.7182050029519527,-9.465415751259998
TS-1G19,sec21-1,33,0.13947973776628475,0.9095363066471591,-2.704200311731726,-9.41077558899606
TS-1F7,act1-155,33,0.10516132358530197,0.6848112244566765,-2.7019415627328534,-9.401962941157482
TS-3K16,dbf4-4,33,0.14743715447241293,0.9381286969256954,-2.668861312196113,-9.27289831355265
TS-1N4,pol1-1,33,0.10620771294541594,0.6721467965871868,-2.6607447027904234,-9.241230863839846
TS-1D11,kar2-159,33,0.09615505433808741,0.6042827249935552,-2.650528221203723,-9.201370633943624
TS-3K14,dbf4-3,33,0.2241102341865633,1.402976780000209,-2.6456699218475745,-9.182415680851667
TS-1J12,rfc2-1,27,0.07397600926475352,0.6202420319257547,-3.065985596792295,-9.024664008891193
TS-1F9,cbf2-2,33,0.14215386545245398,0.8363401415615481,-2.5557944446054646,-8.831760990731462
TS-2J2,sec26-f856aw860a,33,0.13123013102423814,0.7656132029501153,-2.5436061822515,-8.784207737163529
TS-2J5,nop2-4,33,0.17988493281477297,1.048688092781116,-2.5427751678592636,-8.780965483512846
TS-3D19,act1-111,33,0.1962636961299103,1.139808085380897,-2.5373173668733995,-8.759671538021124
TS-5D13,nse4-ts1,33,0.10555618596300943,0.6108977837118105,-2.53178991021,-8.738105826628729
TS-2O9,spc25-1,33,0.1620811752586444,0.907431946241277,-2.4843420562956227,-8.552985112705896
TS-2H4,sec65-1,33,0.16514772751548967,0.9194999222463748,-2.4763759121272293,-8.521904712350457
TS-3O14,cog2-1,33,0.11400877122621504,0.633697598059024,-2.4736125003883367,-8.511123091860526
TS-1D18,orc2-4,33,0.15598304360514534,0.8464375674730079,-2.4392602774145296,-8.377095785731498
TS-3F21,okp1-5,33,0.11718038455214616,0.6350045503967582,-2.437032367661124,-8.368403459101714
TS-3N3,afg2-18,23,0.09183315165712977,0.9769309245772143,-3.409747121388419,-8.329592011810238
TS-5G13,ask1-2,33,0.1897585816253781,1.0155140402873035,-2.419355129183328,-8.299434628328061
TS-2H19,snu114-40,33,0.20068977918866007,1.0698852592237615,-2.4138331826089643,-8.277890414886192
TS-5E17,nse4-ts4,27,0.13535272989478891,0.9543193218396531,-2.8168337804154358,-8.267119076182494
TS-3N14,prp6-ts,33,0.19134212576881315,1.0112929147584757,-2.4013633500731104,-8.229238597973648
TS-2J7,nop2-6,33,0.1451687837921285,0.7579054923116335,-2.38348358032218,-8.159479579008512
TS-1I9,sec14-3,33,0.1830125689751902,0.9470142931777976,-2.370807711533877,-8.110023899012585
TS-3I11,stu1-12,33,0.15800055514186478,0.7997732164277972,-2.3389289108711364,-7.9856468018241715
TS-1B6,kog1-1,33,0.15218094882486288,0.7498374675134774,-2.3000348393998986,-7.8338991950490735
TS-3N10,pol12-ts,33,0.14698162428678269,0.7218577127015923,-2.295297322417137,-7.815415481799302
TS-1L21,rpt4-145,33,0.1642899268815824,0.804642483985294,-2.2914052980097113,-7.800230509720103
TS-2E23,cet1-15,33,0.15537283043992745,0.7527986025047662,-2.27579309625967,-7.739318546471136
TS-2G7,orc5-70,33,0.23009908198703233,1.104434866293634,-2.262484974979005,-7.687396094574909
TS-5I5,spn1-k192n,33,0.25325193755109005,1.2149119537254358,-2.2617557403889585,-7.6845509410687
TS-1J12,rfc2-1,23,0.10551450129060937,0.9199818441251439,-3.12295426300546,-7.6195819247021435
TS-1L19,apc2-8,33,0.16273263957471662,0.7666784350025125,-2.235419848200639,-7.58179984146166
TS-3O17,nab3-11,27,0.17455200525896988,1.0507670783327159,-2.589025085612152,-7.5744678048219924
TS-5D12,nse4-ts1,27,0.18821113993449898,1.1044158298081999,-2.552223842204749,-7.462573796317198
TS-1E10,cdc47-ts,33,0.1692272661042621,0.7784654150073285,-2.2010039560723436,-7.4475241262190215
TS-2I5,dsn1-7,33,0.23450591710582133,1.0758845268727613,-2.1973460256332724,-7.43325248612371
TS-3B15,gab1-1,27,0.1616727148753563,0.9408093246005649,-2.540087398643349,-7.425672996416396
TS-1N20,ubc9-2,27,0.16874818854860996,0.9818222006604063,-2.539882020139404,-7.4250485440354606
TS-1J22,cse4-1,33,0.18970293565836763,0.864072197479694,-2.186816510151654,-7.392170935275568
TS-1C9,cdc2-7,27,0.13513326985075644,0.7800294303739662,-2.5282633751242827,-7.389722108193495
TS-3N20,ubc9-2,27,0.19851340208955637,1.1405214494803948,-2.5217851862397462,-7.370025205180806
TS-3B15,gab1-1,30,0.04738585103012315,0.6721236961072139,-3.823371784451324,-7.363188752399093
TS-2F4,ess1-h164r,33,0.13384280793701758,0.6047949451506732,-2.1750674870422015,-7.3463314005762195
TS-5G3,rsc8-ts16,33,0.15235314948960352,0.6873768256319661,-2.172945127179154,-7.338050883321265
TS-3B17,gab1-2,30,0.05150673560174274,0.6991039232766537,-3.760081999363663,-7.2371232662953275
TS-1J18,pol1-17,33,0.2709350604914549,1.1795602231412694,-2.1218199882135456,-7.1385830160959864
TS-3D14,sec4-8,33,0.19987625707413192,0.8690103745411031,-2.1197106860079997,-7.130353444093124
TS-1K19,mcd1-73,30,0.07502229401267209,0.9796023031784526,-3.705030407490623,-7.127467250231308
TS-2D22,taf8-7,33,0.13909450046479244,0.6038340716239916,-2.1172888547084576,-7.120904520650118
