orf,gene,alleles,MATa_hit,TS_hit,tSNE1,tSNE2
YMR056C,aac1,aac1,FALSE,FALSE,-5.644363164550021,-5.172916408616861
YBR085W,aac3,aac3,TRUE,FALSE,-5.360148842362103,16.47506055695734
YCR107W,aad3,aad3,FALSE,FALSE,12.085203752078154,8.784792431582746
YDL243C,aad4,aad4,FALSE,FALSE,-13.25600805202088,-5.565393370391421
YFL056C,aad6,aad6,FALSE,FALSE,5.1827293147991504,2.977594683036712
YNL141W,aah1,aah1,FALSE,FALSE,-6.954475058744095,-7.668297009031077
YHR047C,aap1,aap1,FALSE,FALSE,0.19258192883140057,-6.501766735440709
YKL106W,aat1,aat1,FALSE,FALSE,-7.4031475376159905,6.415305123113789
YLR027C,aat2,aat2,TRUE,FALSE,-4.024643812409818,14.065740595161635
YBR236C,abd1,abd1-5 | abd1-8,FALSE,FALSE,-2.870426826708118,-1.479659331015537
YMR072W,abf2,abf2,FALSE,FALSE,11.691076650648842,25.953607908479025
YJR108W,abm1,abm1,FALSE,FALSE,-11.851128580764255,-11.35034158438558
YCR088W,abp1,abp1,FALSE,FALSE,-25.38933986983271,-0.07692176508177787
YNR033W,abz1,abz1,FALSE,FALSE,-24.993746917296544,-11.27849230214797
YMR289W,abz2,abz2,FALSE,FALSE,4.536632244380257,7.715677536751019
YER045C,aca1,aca1,FALSE,FALSE,-1.629065588101838,19.449636623995577
YGR037C,acb1,acb1,FALSE,FALSE,-7.738239840401958,16.000579043670236
YLR131C,ace2,ace2,FALSE,FALSE,-3.8960581477777914,-4.333018793309103
YLR144C,acf2,acf2,FALSE,FALSE,3.86214335756789,-15.300532510039394
YJR083C,acf4,acf4,FALSE,FALSE,-12.529060292539109,-16.95749477438822
YBL015W,ach1,ach1,FALSE,FALSE,5.413456163293313,-5.972066580245634
YDL203C,ack1,ack1,FALSE,FALSE,-28.11078984397685,6.912856286751498
YPL267W,acm1,acm1,FALSE,FALSE,-7.1245050659642555,17.78572548208543
YLR304C,aco1,aco1,FALSE,FALSE,7.89679613499508,21.69538004066135
YAL054C,acs1,acs1,FALSE,FALSE,-8.414931811106882,6.131907485289983
YDR448W,ada2,ada2,FALSE,FALSE,3.655450489464887,-22.732678776232323
YMR184W,add37,add37,FALSE,FALSE,12.326510585284684,12.96363045907089
YKL206C,add66,add66,FALSE,FALSE,19.790150414112997,-16.211871953763158
YAR015W,ade1,ade1,FALSE,FALSE,-9.214767127476325,4.743572530890072
YNL220W,ade12,ade12-supp1,FALSE,FALSE,8.003347205017912,10.717478563701363
YLR028C,ade16,ade16,FALSE,FALSE,-4.463484105201353,-12.932475544809243
YMR120C,ade17,ade17,FALSE,FALSE,12.28527406580446,-14.659043676817458
YOR128C,ade2,ade2,FALSE,FALSE,3.037970586343057,21.242580152554588
YGR204W,ade3,ade3,FALSE,FALSE,11.852797365626442,20.20860004088148
YMR300C,ade4,ade4,FALSE,FALSE,3.2486357558490164,-4.461204906552135
YGL234W,"ade5,7","ade5,7",FALSE,FALSE,-1.1406143543666307,-12.877633355496638
YGR061C,ade6,ade6,FALSE,FALSE,-23.372551350270797,-9.65532639983102
YDR408C,ade8,ade8,FALSE,FALSE,-3.7704645270721127,12.216483338907059
YOL086C,adh1,adh1,FALSE,FALSE,-16.44503008419484,-23.29740008268601
YMR303C,adh2,adh2,FALSE,FALSE,-13.315532410425222,17.85422383854621
YMR083W,adh3,adh3,FALSE,FALSE,8.829206507736869,23.9495064581556
YGL256W,adh4,adh4,FALSE,FALSE,12.140707353715392,-18.76388491933701
YBR145W,adh5,adh5,FALSE,FALSE,10.819715953091416,-15.499119659242917
YMR318C,adh6,adh6,FALSE,FALSE,12.83687384404586,10.307013596460095
YCR105W,adh7,adh7,FALSE,FALSE,6.225605091114368,-0.5587828688954847
YMR009W,adi1,adi1,FALSE,FALSE,-2.129630215463996,8.439570964162725
YER170W,adk2,adk2,FALSE,FALSE,7.435147323429405,8.960346103353109
YJR105W,ado1,ado1,FALSE,FALSE,-17.50979126740555,14.485168586995012
YCR011C,adp1,adp1,FALSE,FALSE,4.162526907484817,5.801593720795377
YDR216W,adr1,adr1,FALSE,FALSE,-10.277076209300526,-17.257186515213284
YCR010C,ady2,ady2,FALSE,FALSE,-8.870459837107596,-3.115399836932723
YDL239C,ady3,ady3,FALSE,FALSE,-8.122331856328497,8.104342766410575
YLR227C,ady4,ady4,FALSE,FALSE,7.563737180916599,-5.601578239894074
YMR064W,aep1,aep1,FALSE,FALSE,9.56233635911989,26.73909425967815
YMR282C,aep2,aep2,FALSE,FALSE,8.879172159417086,26.488597548962176
YLR040C,afb1,afb1,FALSE,FALSE,-9.122328039328998,-15.558384147868665
YEL052W,afg1,afg1,FALSE,FALSE,5.5214300191294905,17.69958769637052
YLR397C,afg2,afg2-18,FALSE,TRUE,0.8752464918465588,-26.20950241636725
YER017C,afg3,afg3,FALSE,FALSE,13.541210333965843,23.653485308986905
YOR129C,afi1,afi1,FALSE,FALSE,9.513759745382385,-18.036819292360583
YDR085C,afr1,afr1,FALSE,FALSE,16.145586995287807,3.770005784833797
YGL071W,aft1,aft1,FALSE,FALSE,16.227749762679867,18.11139496156219
YPL202C,aft2,aft2,FALSE,FALSE,-2.8803697692809602,-2.4176571029083496
YGL032C,aga2,aga2,FALSE,FALSE,-5.677056327289941,10.42659117669374
YPR021C,agc1,agc1,FALSE,FALSE,10.609542033812025,1.4769637222891883
YDR524C,age1,age1,FALSE,FALSE,-12.695154791319267,-3.148104506136714
YIL044C,age2,age2,FALSE,FALSE,-21.19244056396654,11.944600840573537
YCL025C,agp1,agp1,FALSE,FALSE,-12.159074161186325,1.7243100575239987
YBR132C,agp2,agp2,FALSE,FALSE,0.8567271884053476,5.760934082185201
YFL055W,agp3,agp3,FALSE,FALSE,4.399338742036903,-1.6288095615995912
YFL030W,agx1,agx1,FALSE,FALSE,-5.406889513253652,-14.266100333454899
YDR214W,aha1,aha1,FALSE,FALSE,16.178570538730597,1.8825500656921772
YOR023C,ahc1,ahc1,FALSE,FALSE,2.7387192635925275,8.268740906042753
YCR082W,ahc2,ahc2,FALSE,FALSE,9.892905430665612,4.949533923196605
YLR109W,ahp1,ahp1,FALSE,FALSE,18.311794281676296,0.29326646508005966
YHR093W,aht1,aht1,FALSE,FALSE,-8.988232886880594,2.5458498211568106
YNR074C,aif1,aif1,FALSE,FALSE,-16.10627272080192,-15.4634548837659
YAL046C,aim1,aim1,FALSE,FALSE,8.128123011606103,12.653456592677193
YER093C-A,aim11,aim11,FALSE,FALSE,-3.3981975959167934,-13.558034845100492
YGL160W,aim14,aim14,FALSE,FALSE,16.724311741271844,-5.105554115963064
YHL021C,aim17,aim17,FALSE,FALSE,-19.922491353507166,-10.475080423333178
YHR198C,aim18,aim18,FALSE,FALSE,-3.351865472911676,-12.473785287445839
YIL087C,aim19,aim19,FALSE,FALSE,-3.3657823326491063,-17.014499865868714
YAL049C,aim2,aim2,FALSE,FALSE,-1.6469782548459657,21.783057205728976
YIL158W,aim20,aim20,FALSE,FALSE,-0.11614040810769119,21.060646086697695
YIR003W,aim21,aim21,FALSE,FALSE,-25.55068979933771,0.16564088142704936
YJL046W,aim22,aim22,FALSE,FALSE,1.44259671737541,27.47166021161256
YJL131C,aim23,aim23,FALSE,FALSE,14.194178876901507,27.779620815565053
YJR080C,aim24,aim24,FALSE,FALSE,10.552520499342128,5.822625415708368
YJR100C,aim25,aim25,FALSE,FALSE,-15.455825849372065,-11.386134128877528
YKL037W,aim26,aim26,FALSE,FALSE,-20.565134373059863,2.127786605546235
YKR074W,aim29,aim29,FALSE,FALSE,-6.7447777427005455,20.708191147609767
YBR108W,aim3,aim3,FALSE,FALSE,-25.80631467188059,0.213165459836175
YML050W,aim32,aim32,FALSE,FALSE,-11.659904165822917,-17.35194272738892
YML087C,aim33,aim33,FALSE,FALSE,3.983823345893892,-4.878907079994293
YMR003W,aim34,aim34,FALSE,FALSE,-13.813959367485413,4.536906709246868
YMR157C,aim36,aim36,FALSE,FALSE,-22.114944119594025,-9.648957410613892
YOL053W,aim39,aim39,FALSE,FALSE,4.222175344296153,13.177912148435137
YBR194W,aim4,aim4,FALSE,FALSE,8.991632308616687,13.461402695000256
YOR215C,aim41,aim41,FALSE,FALSE,0.448331720410354,-5.503625141902879
YPR004C,aim45,aim45,FALSE,FALSE,7.587168385916011,1.725734122564896
YHR199C,aim46,aim46,FALSE,FALSE,11.751753445847127,-18.2574673148848
YDL237W,aim6,aim6,FALSE,FALSE,16.485147503463978,3.503128660605612
YDR063W,aim7,aim7,FALSE,FALSE,-11.22512761724551,-12.08863559399457
YER080W,aim9,aim9,FALSE,FALSE,-6.154867240372205,-6.196494262621738
YMR092C,aip1,aip1,FALSE,FALSE,-11.119694088182989,-11.220009986874395
YIL079C,air1,air1,FALSE,FALSE,-0.29276266740429874,9.72753997502367
YDL175C,air2,air2,FALSE,FALSE,9.34556023445173,-14.860172678967759
YBR059C,akl1,akl1,FALSE,FALSE,-9.635709589449108,14.890807041553293
YDR264C,akr1,akr1,FALSE,FALSE,-10.395211610828994,21.20384948077664
YOR034C,akr2,akr2,FALSE,FALSE,1.3046786747752264,6.965309083417497
YOR335C,ala1,ala1-1,FALSE,FALSE,-11.9759079349853,0.4941923448093436
YJL122W,alb1,alb1,FALSE,FALSE,-6.2379392811652705,24.287513967791153
YMR170C,ald2,ald2,FALSE,FALSE,-12.787279779822647,21.46668021017393
YMR169C,ald3,ald3,FALSE,FALSE,0.6256666332373696,15.52444754080861
YOR374W,ald4,ald4,FALSE,FALSE,16.736156661016416,0.34167029447633046
YER073W,ald5,ald5,FALSE,FALSE,13.222125189104078,13.021405377751343
YPL061W,ald6,ald6,FALSE,FALSE,-0.17226066675674886,21.237995823578757
YOR175C,ale1,ale1,FALSE,FALSE,-12.507890530958818,-21.0480530601446
YBR110W,alg1,alg1-1,FALSE,FALSE,-3.3413694442972233,13.27410970228353
YNR030W,alg12,alg12,FALSE,FALSE,-14.06095029090656,5.996501366786782
YGL065C,alg2,alg2-1,FALSE,FALSE,-23.702882925327213,13.172085354732781
YBL082C,alg3,alg3,FALSE,FALSE,-28.183448094757306,8.613614492825452
YPL227C,alg5,alg5,FALSE,FALSE,-28.920734636018903,8.589906245552873
YOR002W,alg6,alg6,FALSE,FALSE,-28.86875440603775,8.348807130653489
YOR067C,alg8,alg8,FALSE,FALSE,-28.953854595282554,8.34650364078633
YNL219C,alg9,alg9,FALSE,FALSE,-2.517007412534789,-3.8881718538090393
YGL021W,alk1,alk1,FALSE,FALSE,-4.994823792209743,-2.330399226051557
YBL009W,alk2,alk2,FALSE,FALSE,-14.32510115063708,-18.18310805882589
YML086C,alo1,alo1,FALSE,FALSE,6.114169325049502,-18.930728388549745
YNL270C,alp1,alp1,FALSE,FALSE,14.05014238863987,18.255152277329646
YFL050C,alr2,alr2,FALSE,FALSE,3.6550224687721493,5.781352499546958
YLR089C,alt1,alt1,FALSE,FALSE,-18.02757883476326,0.27369687054240466
YDR111C,alt2,alt2,FALSE,FALSE,18.681684119156852,2.5794803635810952
YKR021W,aly1,aly1,FALSE,FALSE,-9.196067518621467,-4.944001509782642
YJL084C,aly2,aly2,FALSE,FALSE,-14.09137758980761,-12.922748051304554
YGR225W,ama1,ama1,FALSE,FALSE,-4.0890256876219215,-22.6370725031062
YML035C,amd1,amd1,FALSE,FALSE,20.676006852117197,-2.313383833510666
YDR242W,amd2,amd2,FALSE,FALSE,2.3149331902137584,14.257324911080227
YBR211C,ame1,ame1-4,FALSE,TRUE,32.66884294839046,-2.1454996105375153
YOR378W,amf1,amf1,FALSE,FALSE,-10.525930306904616,4.393766955233886
YBR158W,amn1,amn1,FALSE,FALSE,-10.793785675763727,5.276935631715986
YGL156W,ams1,ams1,FALSE,FALSE,-0.6736422345751819,4.014611778281747
YJR047C,anb1,anb1,FALSE,FALSE,12.969526633349368,-7.945048421950875
YEL036C,anp1,anp1,FALSE,FALSE,-26.511143883591043,11.322382953491292
YHR126C,ans1,ans1,FALSE,FALSE,-14.109566257852327,-11.080492485583074
YPR128C,ant1,ant1,FALSE,FALSE,-24.11288087364385,-9.677564893471144
YCL050C,apa1,apa1,FALSE,FALSE,2.2943335382563577,-3.162125392905882
YDR530C,apa2,apa2,FALSE,FALSE,16.584636500958624,-7.429355306917926
YLR127C,apc2,apc2-8,FALSE,FALSE,24.055430751833676,-14.949835969404157
YLR102C,apc9,apc9,FALSE,FALSE,23.871689552416953,-15.611512794389554
YBR151W,apd1,apd1,FALSE,FALSE,2.100666374134825,2.3919022809814603
YKL103C,ape1,ape1,FALSE,FALSE,3.081978769254466,15.999515485347256
YKL157W,ape2,ape2,FALSE,FALSE,7.789257903703424,8.83351267649233
YBR286W,ape3,ape3,FALSE,FALSE,-2.0850355069304904,8.421692888470096
YHR113W,ape4,ape4,FALSE,FALSE,-1.620196257439616,30.658271401293135
YDR525W,api2,api2,FALSE,FALSE,-27.47737897455092,7.5465016547997585
YNL077W,apj1,apj1,FALSE,FALSE,-8.39519901408492,-14.896519807123624
YJR005W,apl1,apl1,FALSE,FALSE,3.913265312806874,2.7305101849969606
YKL135C,apl2,apl2,TRUE,FALSE,-22.729597125071386,2.719926301205751
YBL037W,apl3,apl3,FALSE,FALSE,1.38454418598084,15.191973874123534
YPR029C,apl4,apl4,FALSE,FALSE,9.353837260710057,10.104824031509278
YPL195W,apl5,apl5,FALSE,FALSE,-22.248898857418627,13.836534759591038
YGR261C,apl6,apl6,FALSE,FALSE,-25.630129854847215,-7.007753959682999
YPL259C,apm1,apm1,FALSE,FALSE,-22.797635231554143,11.671603129352851
YHL019C,apm2,apm2,FALSE,FALSE,-5.803186313010027,10.444719884438694
YBR288C,apm3,apm3,FALSE,FALSE,-21.625384822754313,12.555419859931211
YOL062C,apm4,apm4,FALSE,FALSE,-6.278689370701827,-3.9204413678366117
YKL114C,apn1,apn1,FALSE,FALSE,-4.493436371136493,-17.049526244370632
YBL019W,apn2,apn2,FALSE,FALSE,-9.800474186847811,9.118499163170254
YNL094W,app1,app1,FALSE,FALSE,2.9174349320852255,-5.294497238669425
YIL040W,apq12,apq12,FALSE,FALSE,10.501873883630864,-11.295012983039454
YLR170C,aps1,aps1,FALSE,FALSE,-20.33251459094497,1.8551763611514556
YJR058C,aps2,aps2,FALSE,FALSE,-14.627743638011818,-22.7819260592551
YJL024C,aps3,aps3,FALSE,FALSE,-22.216019996174424,13.831639664920441
YML022W,apt1,apt1,FALSE,FALSE,3.9623505049140646,-4.953418107476963
YDR441C,apt2,apt2,FALSE,FALSE,-4.245501950140549,-12.001859279886187
YNL065W,aqr1,aqr1,FALSE,FALSE,-18.895416755887602,-22.15578600463419
YPR192W,aqy1,aqy1,FALSE,FALSE,13.921137851683321,-5.129025377252257
YLL052C,aqy2,aqy2,FALSE,FALSE,7.541776546772054,2.465011049218486
YBR149W,ara1,ara1,FALSE,FALSE,-1.3704407280272473,23.872973422530226
YMR041C,ara2,ara2,FALSE,FALSE,13.533639034770424,-3.7578078925596703
YGL105W,arc1,arc1,FALSE,FALSE,0.2623034766803624,-28.932630704641536
YNR035C,arc35,arc35-5 | arc35-6,FALSE,FALSE,-26.038877147223307,1.9987081709019459
YHR013C,ard1,ard1,FALSE,FALSE,17.900827908089095,14.219038421092234
YCR048W,are1,are1,FALSE,FALSE,-12.20441673850773,-22.287435177288284
YNR019W,are2,are2,FALSE,FALSE,-14.484198438735708,-4.731868036501413
YDL192W,arf1,arf1,FALSE,FALSE,5.273928445961527,-25.50386853813754
YDL137W,arf2,arf2,FALSE,FALSE,-18.754665681331804,-14.82881639593007
YOR094W,arf3,arf3,FALSE,FALSE,21.66814058873802,-0.9624983776920902
YMR042W,arg80,arg80,FALSE,FALSE,9.818787506815728,-9.444983253801595
YML099C,arg81,arg81,FALSE,FALSE,9.260299805186754,-7.188926024226006
YGL157W,ari1,ari1,FALSE,FALSE,0.3431378140480461,16.71577543875845
YNL020C,ark1,ark1,FALSE,FALSE,16.281107385884482,1.8107877778942238
YBR164C,arl1,arl1,FALSE,FALSE,-23.911164832059605,18.14554526504765
YPL051W,arl3,arl3,FALSE,FALSE,-23.934362017144114,17.988218817827377
YHL040C,arn1,arn1,FALSE,FALSE,2.3504966057457577,17.575349128655787
YHL047C,arn2,arn2,FALSE,FALSE,-7.536129143709034,-17.445478760688246
YDR127W,aro1,aro1,FALSE,FALSE,-10.774327269132074,16.77075135918457
YDR380W,aro10,aro10,FALSE,FALSE,3.2417623756018967,0.4033410761486438
YGL148W,aro2,aro2,FALSE,FALSE,-10.792437437943404,16.81536664291831
YDR035W,aro3,aro3,FALSE,FALSE,3.6106471175189596,-0.6978974739342344
YBR249C,aro4,aro4,FALSE,FALSE,1.339829735946826,4.31425121898009
YPR060C,aro7,aro7,FALSE,FALSE,-10.672686179380523,16.535045256805596
YGL202W,aro8,aro8,FALSE,FALSE,8.412874109257693,8.378041370688113
YDR421W,aro80,aro80,FALSE,FALSE,6.840755655889186,-10.251814887273275
YHR137W,aro9,aro9,FALSE,FALSE,4.387013652875569,-14.832628989329196
YHR129C,arp1,arp1,FALSE,FALSE,34.90344104372555,1.5363134995592123
YDL029W,arp2,arp2-14,FALSE,FALSE,-26.94429377566215,1.1707303966715994
YLR085C,arp6,arp6,FALSE,FALSE,26.001602482843392,11.587672675685397
YPR199C,arr1,arr1,FALSE,FALSE,7.072850389525753,1.7040878020590189
YPR200C,arr2,arr2,FALSE,FALSE,13.045982676701495,-8.061380200029802
YPR201W,arr3,arr3,FALSE,FALSE,-10.254220281200485,-22.045274032288855
YLR392C,art10,art10,FALSE,FALSE,-2.972561149408045,11.68039682812747
YGR068C,art5,art5,FALSE,FALSE,9.92946382978944,-16.309573659451086
YDR101C,arx1,arx1,FALSE,FALSE,5.785897946067663,-31.202906085923093
YMR116C,asc1,asc1,FALSE,FALSE,7.2786247908826995,-16.191799372985997
YOR058C,ase1,ase1,FALSE,FALSE,33.69675174011151,0.44938654073252954
YJL115W,asf1,asf1,FALSE,FALSE,24.10652662866049,-10.972332880837113
YDL197C,asf2,asf2,FALSE,FALSE,10.188302147575314,14.096218083103297
