gene,sum_neg,sum_pos,score
AIM44,2,0,-2
ALG9,2,0,-2
APN1,4,0,-4
ARD1,2,0,-2
ASF1,2,0,-2
BRE1,3,0,-3
CCS1,2,0,-2
CDC3,2,0,-2
CIK1,2,0,-2
CSM1,2,0,-2
CSM3,3,0,-3
CTF18,3,0,-3
CTF4,3,0,-3
CTF8,4,0,-4
DCC1,2,0,-2
DDC1,6,0,-6
DIA2,2,0,-2
DOA1,2,0,-2
DUN1,2,0,-2
ELG1,1,3,2
EXO1,2,0,-2
FUN30,0,2,2
GET1,2,0,-2
GET2,2,0,-2
GGA2,2,0,-2
HOM6,3,0,-3
HRQ1,2,0,-2
HSL1,4,0,-4
LGE1,3,0,-3
LRS4,4,0,-4
LTE1,4,0,-4
MEC1,2,0,-2
MEC3,4,0,-4
MGS1,3,0,-3
MMS2,4,0,-4
MMS22,3,0,-3
MRE11,2,0,-2
NAT1,2,0,-2
NKP2,2,0,-2
NST1,2,0,-2
NUT1,2,0,-2
PAC11,3,0,-3
PET20,3,0,-3
POL12,2,0,-2
POL32,9,2,-7
PPM1,3,0,-3
RAD1,2,0,-2
RAD14,3,0,-3
RAD17,7,0,-7
RAD23,2,0,-2
RAD24,8,0,-8
RAD27,3,0,-3
RAD30,2,0,-2
RAD4,3,0,-3
RAD50,3,0,-3
RAD51,10,0,-10
RAD52,6,0,-6
RAD53,2,0,-2
RAD54,4,0,-4
RAD55,4,0,-4
RAD57,3,0,-3
RAD9,9,0,-9
RDH54,3,0,-3
REV3,7,1,-6
REV7,3,0,-3
RNR4,2,0,-2
RPN4,2,0,-2
RSP5,2,0,-2
SGF29,2,0,-2
SGF73,2,0,-2
SGS1,1,3,2
SIZ1,1,6,5
SKN7,4,0,-4
SOK2,2,0,-2
SPO12,2,0,-2
SRS2,1,11,10
SSN3,0,2,2
TSA1,7,0,-7
VMA1,2,0,-2
VMA9,2,0,-2
XRS2,3,0,-3
YAP1,4,0,-4
YBP1,2,0,-2
YML020W,2,0,-2
YSR3,2,0,-2
