A,n_a,P_a_est,ci95_a,C,n_ac,P_ac_est,ci95_ac,P_c_diff,P_c_diff_ci95,P_c_diff_upr,P_c_diff_lwr
aft1,68,0.4136448355660105,0.050518893540048175,2.5,4,0.2918112780056196,0.12598397686291937,-0.12183355756039088,0.13573548184136425,0.013901924280973366,-0.25756903940175513
aft1,68,0.4136448355660105,0.050518893540048175,5,29,0.10776725555272292,0.044762238188504264,-0.3058775800132876,0.06749678934701346,-0.2383807906662741,-0.37337436936030105
aft1,68,0.4136448355660105,0.050518893540048175,10,39,0.029939647057562652,0.05838184358775905,-0.38370518850844787,0.0772049108879499,-0.306500277620498,-0.46091009939639777
aft1,68,0.4136448355660105,0.050518893540048175,20,4,0.0010001762645283888,0.003183007257680831,-0.41264465930148214,0.05061906893368516,-0.36202559036779697,-0.4632637282351673
aft1,68,0.4136448355660105,0.050518893540048175,25,62,0.004976761687992132,0.053021010768993966,-0.4086680738780184,0.07323514311774433,-0.3354329307602741,-0.4819032169957627
aft1,68,0.4136448355660105,0.050518893540048175,30,4,2.2292994585657806e-5,7.094625825283639e-5,-0.41362254257142483,0.05051894335674769,-0.36310359921467716,-0.4641414859281725
aft1,68,0.4136448355660105,0.050518893540048175,35,12,0.0011645255724166954,0.03417151872337868,-0.4124803099935938,0.060990583669718566,-0.35148972632387526,-0.47347089366331235
aft1,68,0.4136448355660105,0.050518893540048175,40,31,0.0021954004161779113,0.07782654767808159,-0.4114494351498326,0.09278539824778158,-0.31866403690205103,-0.5042348333976142
aft1,68,0.4136448355660105,0.050518893540048175,50,9,9.37112129777211e-4,0.001712796115871207,-0.4127077234362333,0.05054792058082374,-0.36215980285540955,-0.46325564401705704
aft1,68,0.4136448355660105,0.050518893540048175,60,15,1.900536366483193e-4,0.019265408516538865,-0.4134547819293622,0.05406768507916581,-0.3593870968501964,-0.467522467008528
aft1,68,0.4136448355660105,0.050518893540048175,80,39,0.001093504053064565,0.004641671865228536,-0.41255133151294593,0.05073168361305561,-0.3618196478998903,-0.46328301512600156
aft1,68,0.4136448355660105,0.050518893540048175,100,5,7.91089199155879e-5,1.0132299063962971e-4,-0.4135657266460949,0.05051899514894524,-0.36304673149714967,-0.4640847217950402
aft1,68,0.4136448355660105,0.050518893540048175,125,4,NA,NA,NA,NA,NA,NA
apn1,67,0.7915855674838744,0.08539698001265647,2.5,4,0.47435614909165336,0.8718142537712941,-0.3172294183922211,0.8759867220877725,0.5587573036955514,-1.1932161404799935
apn1,67,0.7915855674838744,0.08539698001265647,5,28,0.8007744425144255,0.1318747973751321,0.009188875030551102,0.15711017273879563,0.16629904776934673,-0.14792129770824453
apn1,67,0.7915855674838744,0.08539698001265647,10,38,0.751312396831107,0.11709334693806678,-0.040273170652767476,0.14492582962481368,0.1046526589720462,-0.18519900027758116
apn1,67,0.7915855674838744,0.08539698001265647,20,3,0.6238137729574581,1.3298141844451414,-0.16777179452641633,1.3325533420267943,1.164781547500378,-1.5003251365532106
apn1,67,0.7915855674838744,0.08539698001265647,25,62,0.7782141758019465,0.08840699375023794,-0.013371391681927913,0.12291639735705183,0.10954500567512392,-0.13628778903897976
apn1,67,0.7915855674838744,0.08539698001265647,30,3,0.6130662202478508,1.32212439893675,-0.17851934723602358,1.3248794550671938,1.1463601078311703,-1.5033988023032174
apn1,67,0.7915855674838744,0.08539698001265647,35,12,0.817358619175245,0.17918722710686166,0.025773051691370563,0.19849611218743823,0.2242691638788088,-0.17272306049606767
apn1,67,0.7915855674838744,0.08539698001265647,40,30,0.7108472967873712,0.13971616053840588,-0.08073827069650319,0.16374751818233965,0.08300924748583646,-0.24448578887884284
apn1,67,0.7915855674838744,0.08539698001265647,50,9,0.7353064001981502,0.28684194248390465,-0.05627916728572424,0.29928405263766017,0.24300488535193593,-0.3555632199233844
apn1,67,0.7915855674838744,0.08539698001265647,60,12,0.8021484245627544,0.16844744078722118,0.01056285707887994,0.188857577298467,0.19942043437734694,-0.17829472021958706
apn1,67,0.7915855674838744,0.08539698001265647,80,38,0.717793170805123,0.11782827688677007,-0.07379239667875148,0.14552026329479822,0.07172786661604674,-0.2193126599735497
apn1,67,0.7915855674838744,0.08539698001265647,100,4,0.5072723989899885,0.6958508058898117,-0.2843131684938859,0.7010713146697578,0.4167581461758719,-0.9853844831636437
