A,n_a,P_a_est,ci95_a,Q,n_qa,P_qa_est,ci95_qa,P_q_diff,P_q_diff_ci95,P_q_diff_upr,P_q_diff_lwr
aft1,68,0.4136448355660105,0.050518893540048175,aft1,2,0,0,-0.4136448355660105,0.050518893540048175,-0.3631259420259623,-0.4641637291060587
aft1,68,0.4136448355660105,0.050518893540048175,asf1,5,0.13633394624834697,0.12141746895135389,-0.27731088931766357,0.1315080239797698,-0.14580286533789377,-0.40881891329743336
aft1,68,0.4136448355660105,0.050518893540048175,chc1,2,NA,NA,NA,NA,NA,NA
aft1,68,0.4136448355660105,0.050518893540048175,csm2,4,0.2844553986760884,0.060580855994368396,-0.12918943688992213,0.07888091478628478,-0.05030852210363734,-0.2080703516762069
aft1,68,0.4136448355660105,0.050518893540048175,csm3,6,0.35010461980574453,0.19336112205271166,-0.06354021576026597,0.19985165029589916,0.13631143453563319,-0.26339186605616516
aft1,68,0.4136448355660105,0.050518893540048175,ctf18,3,0.0013715755747736058,0.002444970243923168,-0.4122732599912369,0.050578023725768397,-0.36169523626546846,-0.4628512837170053
aft1,68,0.4136448355660105,0.050518893540048175,ctf4,6,0.16034373848409778,0.062227558377562546,-0.25330109708191273,0.08015252725986671,-0.17314856982204602,-0.33345362434177944
aft1,68,0.4136448355660105,0.050518893540048175,ctf8,2,0.022278316291018486,0.11866478148738292,-0.391366519274992,0.1289708841946858,-0.26239563508030617,-0.5203374034696778
aft1,68,0.4136448355660105,0.050518893540048175,dbf2,2,4.375171814084269e-4,0.002230766162011879,-0.41320731838460206,0.05056812160027598,-0.3626391967843261,-0.463775439984878
aft1,68,0.4136448355660105,0.050518893540048175,dcc1,5,5.587816164594955e-4,0.0014964674206675195,-0.413086053949551,0.05054105281107468,-0.3625450011384763,-0.4636271067606257
aft1,68,0.4136448355660105,0.050518893540048175,ddc1,5,0.38298506286761913,0.28372354130429406,-0.030659772698391374,0.2881860622840046,0.25752628958561324,-0.318845834982396
aft1,68,0.4136448355660105,0.050518893540048175,dhh1,3,NA,NA,NA,NA,NA,NA
aft1,68,0.4136448355660105,0.050518893540048175,dia2,5,0.3684963885735322,0.6894276645074646,-0.04514844699247833,0.6912761121236057,0.6461276651311274,-0.7364245591160841
aft1,68,0.4136448355660105,0.050518893540048175,erg2,2,0.006797226121463665,0.08636694673739195,-0.40684760944454684,0.10005702420744993,-0.3067905852370969,-0.5069046336519968
aft1,68,0.4136448355660105,0.050518893540048175,esc2,4,0.5837609986198393,0.4708818314955072,0.17011616305382882,0.47358405572514156,0.6437002187789704,-0.30346789267131274
aft1,68,0.4136448355660105,0.050518893540048175,exo1,10,0.4066756387463676,0.11991496380600246,-0.00696919681964292,0.1301220855547036,0.12315288873506067,-0.1370912823743465
aft1,68,0.4136448355660105,0.050518893540048175,gpx2,3,0.5168361308113316,0.8896380344599124,0.10319129524532111,0.8910712603165961,0.9942625555619172,-0.787879965071275
aft1,68,0.4136448355660105,0.050518893540048175,hpc2,4,0.4215576683129497,0.24695916203157461,0.007912832746939213,0.25207337486503456,0.2599862076119738,-0.24416054211809535
aft1,68,0.4136448355660105,0.050518893540048175,hrq1,8,0.5460628805030365,0.19610733763394742,0.13241804493702602,0.20250986760744713,0.3349279125444732,-0.0700918226704211
aft1,68,0.4136448355660105,0.050518893540048175,ina1,4,0.548585031257942,0.47807490243771966,0.1349401956919315,0.480736696066928,0.6156768917588595,-0.3457965003749965
aft1,68,0.4136448355660105,0.050518893540048175,irc21,5,0.3091614925787133,0.27015727859341027,-0.10448334298729722,0.27484016042330534,0.1703568174360081,-0.37932350341060256
aft1,68,0.4136448355660105,0.050518893540048175,mlh1,4,0.629203309189006,0.3397853859533686,0.21555847362299552,0.34352040275941453,0.55907887638241,-0.12796192913641902
aft1,68,0.4136448355660105,0.050518893540048175,mlh3,7,0.5593985331280674,0.14196320923194677,0.14575369756205692,0.15068414442118394,0.29643784198324086,-0.0049304468591270245
aft1,68,0.4136448355660105,0.050518893540048175,mms1,2,0.0427111020631063,0.059161704851289534,-0.3709337335029042,0.07779631048720638,-0.29313742301569784,-0.44873004399011057
aft1,68,0.4136448355660105,0.050518893540048175,mms22,4,0.06058742494934751,0.09731585907481952,-0.353057410616663,0.1096473211345396,-0.24341008948212342,-0.46270473175120264
aft1,68,0.4136448355660105,0.050518893540048175,mph1,8,0.4890970058484673,0.176465480150495,0.07545217028245682,0.18355441778735665,0.25900658806981347,-0.10810224750489983
aft1,68,0.4136448355660105,0.050518893540048175,mre11,4,0.31129114949666786,0.25571349016544115,-0.10235368606934264,0.2606559948612383,0.15830230879189566,-0.36300968093058095
aft1,68,0.4136448355660105,0.050518893540048175,mus81,6,0.6286908285665037,0.31352159369872146,0.2150459930004932,0.31756565985618923,0.5326116528566824,-0.10251966685569602
aft1,68,0.4136448355660105,0.050518893540048175,nup84,4,0.1361342945385122,0.23408592040591886,-0.2775105410274983,0.23947521111128997,-0.03803532991620831,-0.5169857521387883
aft1,68,0.4136448355660105,0.050518893540048175,pif1,3,0.38569726728922815,0.32453844972872814,-0.027947568276782353,0.3284468967075757,0.30049932843079336,-0.35639446498435806
aft1,68,0.4136448355660105,0.050518893540048175,pol30-RR,6,0.2805176560103408,0.0862311579764711,-0.13312717955566972,0.0999398379550109,-0.03318734160065882,-0.2330670175106806
aft1,68,0.4136448355660105,0.050518893540048175,pol32,3,0,0,-0.4136448355660105,0.050518893540048175,-0.3631259420259623,-0.4641637291060587
aft1,68,0.4136448355660105,0.050518893540048175,pso2,7,0.39254951185142034,0.05514930196546444,-0.021095323714590164,0.07479040120088074,0.05369507748629057,-0.0958857249154709
aft1,68,0.4136448355660105,0.050518893540048175,psy2,8,0.3937986712790832,0.09993965637225119,-0.019846164286927315,0.11198255900056209,0.09213639471363477,-0.1318287232874894
aft1,68,0.4136448355660105,0.050518893540048175,psy4,8,0.5147686751953843,0.06036992741565706,0.10112383962937377,0.07871903671083903,0.1798428763402128,0.022404802918534736
aft1,68,0.4136448355660105,0.050518893540048175,rad1,9,0.5662302610210082,0.09681562053622994,0.15258542545499765,0.10920358503421941,0.26178901048921704,0.04338184042077824
aft1,68,0.4136448355660105,0.050518893540048175,rad10,6,0.6515064818431576,0.3573286831171372,0.23786164627714712,0.36088217797882205,0.5987438242559692,-0.12302053170167493
aft1,68,0.4136448355660105,0.050518893540048175,rad14,7,0.31596157756420684,0.14672462199519484,-0.09768325800180366,0.15517819854652115,0.05749494054471749,-0.2528614565483248
aft1,68,0.4136448355660105,0.050518893540048175,rad18,8,0.5069057431690757,0.1879926295492964,0.09326090760306516,0.19466223919746148,0.28792314680052666,-0.10140133159439632
aft1,68,0.4136448355660105,0.050518893540048175,rad2,4,0.4023552724085401,0.5248367215011559,-0.011289563157470428,0.5272624989894432,0.5159729358319728,-0.5385520621469136
aft1,68,0.4136448355660105,0.050518893540048175,rad23,4,0.059944546559801526,0.092142937795895,-0.353700289006209,0.10508320317809548,-0.24861708582811348,-0.4587834921843045
aft1,68,0.4136448355660105,0.050518893540048175,rad27,4,0.001987207780584715,0.002226803956983555,-0.4116576277854258,0.05056794696617175,-0.3610896808192541,-0.46222557475159753
aft1,68,0.4136448355660105,0.050518893540048175,rad28,4,0.37153719382431527,0.1349018705404388,-0.042107641741695234,0.14405093987829456,0.10194329813659933,-0.1861585816199898
aft1,68,0.4136448355660105,0.050518893540048175,rad4,4,0.3703339046635199,0.1970911235408461,-0.04331093090249061,0.2034626982596657,0.1601517673571751,-0.2467736291621563
aft1,68,0.4136448355660105,0.050518893540048175,rad5,7,0.643017964694733,0.17305231972316257,0.22937312912872254,0.1802755223708377,0.4096486514995602,0.049097606757884854
aft1,68,0.4136448355660105,0.050518893540048175,rad50,4,0.0938373906559994,0.16017195998927056,-0.3198074449100111,0.1679500383188858,-0.15185740659112532,-0.4877574832288969
aft1,68,0.4136448355660105,0.050518893540048175,rad51,4,0.18866903015951603,0.11380352151090353,-0.22497580540649448,0.12451265041269263,-0.10046315499380185,-0.3494884558191871
aft1,68,0.4136448355660105,0.050518893540048175,rad52,4,0.49099480960951025,0.7542929899142018,0.07734997404349975,0.755982852476309,0.8333328265198088,-0.6786328784328093
aft1,68,0.4136448355660105,0.050518893540048175,rad54,8,0.3411378979511135,0.0991295568721819,-0.07250693761489702,0.11126017998451138,0.03875324236961436,-0.1837671175994084
aft1,68,0.4136448355660105,0.050518893540048175,rad55,2,0.14505235797324795,0.12217583372667283,-0.26859247759276256,0.1322085207213148,-0.13638395687144775,-0.40080099831407734
aft1,68,0.4136448355660105,0.050518893540048175,rad57,6,0.27411413524137895,0.1387893309301115,-0.13953070032463155,0.1476977893691667,0.008167089044535142,-0.2872284896937982
aft1,68,0.4136448355660105,0.050518893540048175,rad61,5,0.41798183377098774,0.08658662371511464,0.004336998204977238,0.10024670573586732,0.10458370394084456,-0.09590970753089008
aft1,68,0.4136448355660105,0.050518893540048175,rdh54,5,0.4221393608968218,0.2123789627273284,0.008494525330811298,0.21830479246605344,0.22679931779686474,-0.20981026713524215
aft1,68,0.4136448355660105,0.050518893540048175,rev1,8,0.6957355068997912,0.22411097297984714,0.28209067133378074,0.22973438317867112,0.5118250545124519,0.05235628815510962
aft1,68,0.4136448355660105,0.050518893540048175,rev3,7,0.5222780371620285,0.08089228112504837,0.10863320159601797,0.09537148289779591,0.20400468449381387,0.013261718698222055
aft1,68,0.4136448355660105,0.050518893540048175,rev7,7,0.4492912094215753,0.15420975892835578,0.035646373855564795,0.16227386836226074,0.19792024221782553,-0.12662749450669594
aft1,68,0.4136448355660105,0.050518893540048175,rph1,4,0.4454812116406441,0.09723082981116302,0.03183637607463358,0.10957186167204638,0.14140823774667996,-0.0777354855974128
aft1,68,0.4136448355660105,0.050518893540048175,rrm3,7,0.49646203013097195,0.1275508153624094,0.08281719456496145,0.13719099498190898,0.22000818954687043,-0.05437380041694753
aft1,68,0.4136448355660105,0.050518893540048175,rtt101,10,0.30268046402882104,0.10635054806123859,-0.11096437153718947,0.1177395331969536,0.006775161659764134,-0.22870390473414307
aft1,68,0.4136448355660105,0.050518893540048175,rtt107,3,0.10014185900860534,0.2603481613381276,-0.31350297655740517,0.26520430561484937,-0.0482986709425558,-0.5787072821722545
aft1,68,0.4136448355660105,0.050518893540048175,rtt109,4,1.292510494973963e-4,4.1133452492703046e-4,-0.4135155845165131,0.050520568094609926,-0.3629950164219032,-0.464036152611123
aft1,68,0.4136448355660105,0.050518893540048175,saw1,7,0.4629566124394272,0.051911185931762874,0.0493117768734167,0.07243569444240026,0.12174747131581697,-0.023123917568983562
aft1,68,0.4136448355660105,0.050518893540048175,sgs1,9,0.4001451556511721,0.1389607338805722,-0.013499679914838414,0.1478588656967783,0.1343591857819399,-0.16135854561161672
aft1,68,0.4136448355660105,0.050518893540048175,shu1,6,0.3371016958664861,0.13501353172808378,-0.07654313969952442,0.1441555144772513,0.06761237477772689,-0.22069865417677573
aft1,68,0.4136448355660105,0.050518893540048175,shu2,3,0.37043151383324013,0.14457258436520962,-0.04321332173277037,0.15314499911700144,0.10993167738423107,-0.1963583208497718
aft1,68,0.4136448355660105,0.050518893540048175,sin4,4,0.4242260318706213,0.24574776481909089,0.010581196304610796,0.2508866726593701,0.2614678689639809,-0.2403054763547593
aft1,68,0.4136448355660105,0.050518893540048175,siz1,4,0.3102253418800841,0.2582524546234372,-0.1034194936859264,0.26314727610891436,0.15972778242298796,-0.36656676979484076
aft1,68,0.4136448355660105,0.050518893540048175,sky1,4,0.05394488093867225,0.06210975966284872,-0.3596999546273383,0.08006110697390807,-0.2796388476534302,-0.43976106160124634
aft1,68,0.4136448355660105,0.050518893540048175,slx4,6,0.6896373548131424,0.35649212737381913,0.27599251924713186,0.360053878584889,0.6360463978320209,-0.08406135933775716
aft1,68,0.4136448355660105,0.050518893540048175,slx5,4,0.5209721691942413,0.4749628774554148,0.10732733362823077,0.477642014028538,0.5849693476567688,-0.37031468040030724
aft1,68,0.4136448355660105,0.050518893540048175,slx8,5,0.59971041337746,0.2468207150291307,0.1860655778114495,0.2519377382846843,0.4380033160961338,-0.0658721604732348
aft1,68,0.4136448355660105,0.050518893540048175,snf2,2,0.025383829878622505,0.17695400909203146,-0.38826100568738797,0.18402412868494575,-0.20423687700244222,-0.5722851343723337
aft1,68,0.4136448355660105,0.050518893540048175,sod1,3,0.32740111909374964,1.4086933187917505,-0.08624371647226087,1.4095988879865886,1.3233551715143277,-1.4958426044588495
aft1,68,0.4136448355660105,0.050518893540048175,srs2,6,0.36933369689939133,0.0890757064880637,-0.044311138666619176,0.10240429722847764,0.05809315856185847,-0.14671543589509684
aft1,68,0.4136448355660105,0.050518893540048175,swi4,9,0.5172633264066245,0.09193147264717469,0.10361849084061403,0.10489782775438655,0.20851631859500058,-0.001279336913772522
aft1,68,0.4136448355660105,0.050518893540048175,tdp1,4,0.15208570566044768,0.24882102949097348,-0.26155912990556285,0.25389774185970737,-0.007661388045855477,-0.5154568717652702
aft1,68,0.4136448355660105,0.050518893540048175,top3,8,0.5321939601292596,0.06518878045503868,0.11854912456324906,0.08247263607843484,0.20102176064168392,0.03607648848481422
aft1,68,0.4136448355660105,0.050518893540048175,trm10,2,0.4790541295158699,0.8841589846419058,0.06540929394985939,0.8856010776458645,0.9510103715957239,-0.8201917836960051
aft1,68,0.4136448355660105,0.050518893540048175,ubc13,4,0.38254466770530327,0.14749126999604095,-0.03110016786070724,0.15590328197172684,0.1248031141110196,-0.18700344983243408
aft1,68,0.4136448355660105,0.050518893540048175,vps41,4,0.13055219111397853,0.094791010274955,-0.28309264445203197,0.10741272845178707,-0.1756799160002449,-0.39050537290381904
aft1,68,0.4136448355660105,0.050518893540048175,wss1,4,0.2793330877376392,0.3909280220329557,-0.1343117478283713,0.39417873739600645,0.25986698956763515,-0.5284904852243777
aft1,68,0.4136448355660105,0.050518893540048175,xrs2,4,0.23398756188058015,0.465400269049867,-0.17965727368543036,0.46813413573056095,0.28847686204513057,-0.6477914094159913
aft1,68,0.4136448355660105,0.050518893540048175,yku70,6,0.3931073365207835,0.1287641777205214,-0.020537499045227003,0.1383198180614504,0.11778231901622341,-0.15885731710667741
aft1,68,0.4136448355660105,0.050518893540048175,yps1,4,0.32825047665450807,0.14422762643471387,-0.08539435891150243,0.1528193928515033,0.06742503394000088,-0.23821375176300574
apn1,67,0.7915855674838744,0.08539698001265647,asf1,6,0.7954555966678065,0.407067666734883,0.003870029183932089,0.41592875531305096,0.41979878449698305,-0.41205872612911887
apn1,67,0.7915855674838744,0.08539698001265647,chc1,2,NA,NA,NA,NA,NA,NA
apn1,67,0.7915855674838744,0.08539698001265647,csm2,4,0.30483700078139764,0.5891061352735211,-0.4867485667024768,0.5952635406374105,0.1085149739349337,-1.0820121073398874
apn1,67,0.7915855674838744,0.08539698001265647,csm3,6,0.5372916312590813,0.44229478611318324,-0.2542939362247931,0.45046345247776604,0.1961695162529729,-0.7047573887025591
apn1,67,0.7915855674838744,0.08539698001265647,ctf18,5,0.769366655993333,0.3948726918016847,-0.02221891149054145,0.40400134520319403,0.3817824337126526,-0.4262202566937355
apn1,67,0.7915855674838744,0.08539698001265647,ctf4,6,0.7433667249083666,0.39422282680815113,-0.04821884257550779,0.40336618769040566,0.35514734511489787,-0.45158503026591346
apn1,67,0.7915855674838744,0.08539698001265647,dcc1,5,1.3631086841670587e-4,2.998779328340965e-4,-0.7914492566154577,0.08539750653301681,-0.7060517500824409,-0.8768467631484745
apn1,67,0.7915855674838744,0.08539698001265647,ddc1,5,0.4456394011094289,0.531509555514871,-0.34594616637444553,0.5383261574537297,0.19237999107928416,-0.8842723238281752
apn1,67,0.7915855674838744,0.08539698001265647,dhh1,4,NA,NA,NA,NA,NA,NA
apn1,67,0.7915855674838744,0.08539698001265647,dia2,5,0.5471074094914438,0.6177258502022532,-0.24447815799243067,0.6236007297970221,0.3791225718045914,-0.8680788877894527
apn1,67,0.7915855674838744,0.08539698001265647,erg2,3,0.5723463498723975,1.2337690481634431,-0.2192392176114769,1.2367209500940017,1.017481732482525,-1.4559601677054785
apn1,67,0.7915855674838744,0.08539698001265647,esc2,4,0.8687301096389474,0.14383458333365778,0.07714454215507294,0.1672753166430989,0.24441985879817182,-0.09013077448802595
apn1,67,0.7915855674838744,0.08539698001265647,exo1,10,0.35626903605280325,0.3095217733523322,-0.4353165314310712,0.3210862382202865,-0.1142302932107847,-0.7564027696513577
apn1,67,0.7915855674838744,0.08539698001265647,gpx2,3,0.9767389728898448,0.07961677396492425,0.18515340540597036,0.1167539073944161,0.30190731280038646,0.06839949801155426
apn1,67,0.7915855674838744,0.08539698001265647,hpc2,4,0.847968948122841,0.07010791931742472,0.05638338063896653,0.11048875303079758,0.1668721336697641,-0.05410537239183105
apn1,67,0.7915855674838744,0.08539698001265647,hrq1,8,0.5314029099941637,0.3767303431178914,-0.2601826574897107,0.38628796981139113,0.12610531232168043,-0.6464706273011018
apn1,67,0.7915855674838744,0.08539698001265647,ina1,4,0.9264410894421011,0.1434566947015971,0.1348555219582267,0.16695049400941972,0.30180601596764645,-0.03209497205119302
apn1,67,0.7915855674838744,0.08539698001265647,irc21,5,0.834495450982367,0.30819545691468175,0.04290988349849256,0.319807885859826,0.36271776935831856,-0.27689800236133344
apn1,67,0.7915855674838744,0.08539698001265647,mlh1,4,0.824333697431634,0.1723293842021561,0.03274812994775955,0.1923280033036697,0.22507613325142925,-0.15957987335591015
apn1,67,0.7915855674838744,0.08539698001265647,mlh3,7,0.9469325892817249,0.1297125976782244,0.15534702179785043,0.15529971729438194,0.3106467390922324,4.7304503468487136e-5
apn1,67,0.7915855674838744,0.08539698001265647,mms1,2,0.5920613448385466,0.792993680180436,-0.19952422264532788,0.7975785986355162,0.5980543759901883,-0.997102821280844
apn1,67,0.7915855674838744,0.08539698001265647,mms2,5,0.5894920735113394,0.5225756840547752,-0.20209349397253507,0.5295073085053673,0.32741381453283225,-0.7316008024779024
apn1,67,0.7915855674838744,0.08539698001265647,mms22,4,0.872349392007248,0.3574655787049106,0.0807638245233736,0.3675245354450757,0.4482883599684493,-0.2867607109217021
apn1,67,0.7915855674838744,0.08539698001265647,mph1,7,0.6117459570864237,0.3902440317905106,-0.17983961039745078,0.399478470688215,0.21963886029076424,-0.5793180810856657
apn1,67,0.7915855674838744,0.08539698001265647,mre11,4,0.7381217788118313,0.27191824233017686,-0.053463788672043155,0.2850125869276914,0.23154879825564822,-0.33847637559973454
